date,month,hour,dayOfTheWeek,site1_utilization,site2_utilization,site1_utilization_percentage,site2_utilization_percentage,temperature,precipitation
2018-01-01,1,0,0,0,0,0.0,0.0,9.0,0.0
2018-01-01,1,1,0,0,0,0.0,0.0,9.0,0.0
2018-01-01,1,2,0,0,0,0.0,0.0,9.0,0.0
2018-01-01,1,3,0,0,0,0.0,0.0,9.0,0.0
2018-01-01,1,4,0,0,0,0.0,0.0,8.0,0.0
2018-01-01,1,5,0,0,0,0.0,0.0,8.0,0.0
2018-01-01,1,6,0,0,0,0.0,0.0,7.0,0.0
2018-01-01,1,7,0,0,0,0.0,0.0,8.0,0.0
2018-01-01,1,8,0,0,0,0.0,0.0,12.0,0.0
2018-01-01,1,9,0,0,0,0.0,0.0,16.0,0.0
2018-01-01,1,10,0,0,0,0.0,0.0,19.0,0.0
2018-01-01,1,11,0,0,0,0.0,0.0,21.0,0.0
2018-01-01,1,12,0,0,0,0.0,0.0,22.0,0.0
2018-01-01,1,13,0,0,0,0.0,0.0,23.0,0.0
2018-01-01,1,14,0,0,0,0.0,0.0,23.0,0.0
2018-01-01,1,15,0,0,0,0.0,0.0,21.0,0.0
2018-01-01,1,16,0,0,0,0.0,0.0,19.0,0.0
2018-01-01,1,17,0,0,0,0.0,0.0,17.0,0.0
2018-01-01,1,18,0,0,0,0.0,0.0,15.0,0.0
2018-01-01,1,19,0,0,0,0.0,0.0,14.0,0.0
2018-01-01,1,20,0,0,0,0.0,0.0,14.0,0.0
2018-01-01,1,21,0,0,0,0.0,0.0,13.0,0.0
2018-01-01,1,22,0,0,0,0.0,0.0,12.0,0.0
2018-01-01,1,23,0,0,0,0.0,0.0,12.0,0.0
2018-01-02,1,0,1,0,0,0.0,0.0,12.0,0.0
2018-01-02,1,1,1,0,0,0.0,0.0,12.0,0.0
2018-01-02,1,2,1,0,0,0.0,0.0,12.0,0.0
2018-01-02,1,3,1,0,0,0.0,0.0,12.0,0.0
2018-01-02,1,4,1,0,0,0.0,0.0,12.0,0.0
2018-01-02,1,5,1,0,0,0.0,0.0,13.0,0.0
2018-01-02,1,6,1,0,0,0.0,0.0,12.0,0.0
2018-01-02,1,7,1,0,0,0.0,0.0,12.0,0.0
2018-01-02,1,8,1,0,0,0.0,0.0,13.0,0.0
2018-01-02,1,9,1,0,0,0.0,0.0,16.0,0.0
2018-01-02,1,10,1,0,0,0.0,0.0,18.0,0.0
2018-01-02,1,11,1,0,0,0.0,0.0,22.0,0.0
2018-01-02,1,12,1,0,0,0.0,0.0,24.0,0.0
2018-01-02,1,13,1,0,0,0.0,0.0,27.0,0.0
2018-01-02,1,14,1,0,0,0.0,0.0,27.0,0.0
2018-01-02,1,15,1,0,0,0.0,0.0,25.0,0.0
2018-01-02,1,16,1,0,0,0.0,0.0,23.0,0.0
2018-01-02,1,17,1,0,0,0.0,0.0,20.0,0.0
2018-01-02,1,18,1,0,0,0.0,0.0,21.0,0.0
2018-01-02,1,19,1,0,0,0.0,0.0,19.0,0.0
2018-01-02,1,20,1,0,0,0.0,0.0,17.0,0.0
2018-01-02,1,21,1,0,0,0.0,0.0,18.0,0.0
2018-01-02,1,22,1,0,0,0.0,0.0,17.0,0.0
2018-01-02,1,23,1,0,0,0.0,0.0,18.0,0.0
2018-01-03,1,0,2,0,0,0.0,0.0,17.0,0.0
2018-01-03,1,1,2,0,0,0.0,0.0,15.0,0.0
2018-01-03,1,2,2,0,0,0.0,0.0,14.0,0.0
2018-01-03,1,3,2,0,0,0.0,0.0,13.0,0.0
2018-01-03,1,4,2,0,0,0.0,0.0,13.0,0.0
2018-01-03,1,5,2,0,0,0.0,0.0,14.0,0.0
2018-01-03,1,6,2,0,0,0.0,0.0,12.0,0.0
2018-01-03,1,7,2,0,0,0.0,0.0,13.0,0.0
2018-01-03,1,8,2,0,0,0.0,0.0,17.0,0.0
2018-01-03,1,9,2,0,0,0.0,0.0,18.0,0.0
2018-01-03,1,10,2,0,0,0.0,0.0,19.0,0.0
2018-01-03,1,11,2,0,0,0.0,0.0,22.0,0.0
2018-01-03,1,12,2,0,0,0.0,0.0,22.0,0.0
2018-01-03,1,13,2,0,0,0.0,0.0,23.0,0.0
2018-01-03,1,14,2,0,0,0.0,0.0,23.0,0.0
2018-01-03,1,15,2,0,0,0.0,0.0,22.0,0.0
2018-01-03,1,16,2,0,0,0.0,0.0,22.0,0.0
2018-01-03,1,17,2,0,0,0.0,0.0,19.0,0.0
2018-01-03,1,18,2,0,0,0.0,0.0,19.0,0.0
2018-01-03,1,19,2,0,0,0.0,0.0,18.0,0.0
2018-01-03,1,20,2,0,0,0.0,0.0,17.0,0.0
2018-01-03,1,21,2,0,0,0.0,0.0,14.0,0.0
2018-01-03,1,22,2,0,0,0.0,0.0,12.0,0.0
2018-01-03,1,23,2,0,0,0.0,0.0,14.0,0.0
2018-01-04,1,0,3,0,0,0.0,0.0,13.0,0.0
2018-01-04,1,1,3,0,0,0.0,0.0,12.0,0.0
2018-01-04,1,2,3,0,0,0.0,0.0,12.0,0.0
2018-01-04,1,3,3,0,0,0.0,0.0,12.0,0.0
2018-01-04,1,4,3,0,0,0.0,0.0,12.0,0.0
2018-01-04,1,5,3,0,0,0.0,0.0,12.0,0.0
2018-01-04,1,6,3,0,0,0.0,0.0,11.0,0.0
2018-01-04,1,7,3,0,0,0.0,0.0,13.0,0.0
2018-01-04,1,8,3,0,0,0.0,0.0,16.0,0.0
2018-01-04,1,9,3,0,0,0.0,0.0,18.0,0.0
2018-01-04,1,10,3,0,0,0.0,0.0,21.0,0.0
2018-01-04,1,11,3,0,0,0.0,0.0,22.0,0.0
2018-01-04,1,12,3,0,0,0.0,0.0,24.0,0.0
2018-01-04,1,13,3,0,0,0.0,0.0,24.0,0.0
2018-01-04,1,14,3,0,0,0.0,0.0,23.0,0.0
2018-01-04,1,15,3,0,0,0.0,0.0,23.0,0.0
2018-01-04,1,16,3,0,0,0.0,0.0,21.0,0.0
2018-01-04,1,17,3,0,0,0.0,0.0,20.0,0.0
2018-01-04,1,18,3,0,0,0.0,0.0,19.0,0.0
2018-01-04,1,19,3,0,0,0.0,0.0,18.0,0.0
2018-01-04,1,20,3,0,0,0.0,0.0,16.0,0.0
2018-01-04,1,21,3,0,0,0.0,0.0,16.0,0.0
2018-01-04,1,22,3,0,0,0.0,0.0,16.0,0.0
2018-01-04,1,23,3,0,0,0.0,0.0,16.0,0.0
2018-01-05,1,0,4,0,0,0.0,0.0,16.0,0.0
2018-01-05,1,1,4,0,0,0.0,0.0,15.0,0.0
2018-01-05,1,2,4,0,0,0.0,0.0,13.0,0.0
2018-01-05,1,3,4,0,0,0.0,0.0,14.0,0.0
2018-01-05,1,4,4,0,0,0.0,0.0,12.0,0.0
