stationID,total_time_potential_usage_per_station
1-1-179-810,95384200.0
1-1-193-825,94919887.0
1-1-193-829,94717743.0
1-1-193-820,94731812.0
1-1-193-819,94898789.0
1-1-194-821,94725383.0
1-1-178-817,94778516.0
1-1-191-804,88153517.0
1-1-194-826,94704671.0
1-1-178-823,94721945.0
1-1-179-788,95426634.0
1-1-194-818,94715267.0
1-1-178-824,94726063.0
1-1-194-822,94698110.0
1-1-179-783,95341146.0
1-1-193-816,94720333.0
1-1-179-798,95422586.0
1-1-178-828,94644274.0
1-1-179-787,95417375.0
1-1-191-792,94866363.0
1-1-193-827,94719151.0
1-1-179-777,95408423.0
1-1-179-799,95331388.0
1-1-179-796,95388204.0
1-1-179-815,95248562.0
1-1-179-797,95435924.0
1-1-179-781,95422334.0
1-1-179-800,95426560.0
1-1-179-809,95423790.0
1-1-179-791,95388662.0
1-1-179-794,95429562.0
1-1-179-779,95396161.0
1-1-179-801,95418067.0
1-1-179-790,95395707.0
1-1-191-802,95422780.0
1-1-191-789,95378769.0
1-1-191-806,95424173.0
1-1-191-785,95226059.0
1-1-191-808,95404247.0
1-1-191-782,95370331.0
1-1-179-813,95335703.0
1-1-191-795,94772903.0
1-1-191-807,95320528.0
1-1-191-812,94893079.0
1-1-191-803,94988264.0
1-1-191-778,94989160.0
1-1-191-811,94987764.0
1-1-191-780,94896363.0
1-1-191-786,94640876.0
1-1-191-793,95420348.0
1-1-191-784,94801552.0
1-1-191-805,94984064.0
2-39-138-566,102259770.0
2-39-79-379,106895429.0
2-39-79-378,99823550.0
2-39-139-28,106916970.0
2-39-79-377,106827638.0
2-39-125-21,106886115.0
2-39-127-19,106909132.0
2-39-79-382,106646498.0
2-39-78-361,106892197.0
2-39-91-441,70007152.0
2-39-78-366,106739268.0
2-39-123-23,106909223.0
2-39-79-376,106898855.0
2-39-139-567,101553373.0
2-39-131-30,106804187.0
2-39-91-437,106914510.0
2-39-130-564,57044072.0
2-39-89-25,106907833.0
2-39-78-365,106896142.0
2-39-79-381,106648963.0
2-39-95-444,101619928.0
2-39-79-380,106914884.0
2-39-95-27,106919090.0
2-39-79-383,106641456.0
2-39-78-367,104721773.0
2-39-88-438,59216262.0
2-39-90-440,106465160.0
2-39-78-364,106911974.0
2-39-92-442,106479298.0
2-39-138-29,106867089.0
2-39-129-17,106422328.0
2-39-130-31,106788600.0
2-39-89-439,67782124.0
2-39-92-436,106469697.0
2-39-128-18,106616889.0
2-39-90-26,106474456.0
2-39-124-22,106462340.0
2-39-78-363,106901188.0
2-39-83-386,99795202.0
2-39-128-562,57285789.0
2-39-78-360,104217201.0
2-39-88-24,106046701.0
2-39-123-557,58850448.0
2-39-124-558,58515749.0
2-39-78-362,104483978.0
2-39-126-20,106700236.0
2-39-126-560,61810528.0
2-39-83-387,89823076.0
2-39-129-563,55583558.0
2-39-127-561,95554723.0
2-39-131-565,50016207.0
2-39-82-384,82609117.0
2-39-125-559,91344566.0
2-39-82-385,85454833.0
2-39-81-4550,25846124.0
